person;id;user_frame;pre_user_frame;system_frame;pre_system_frame;Polite;Human;Detailed;query;response;preresponse;sarcasm;rephrasing;task;condition
VP1.1T;1;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;1;text
VP1.1T;2;2.1;1;0;1;0;1;0;Ich vrauche ein rezept fuer ein veganes Gericht;Ich glaube da war ein Rechtschreibfehler. Was meintest du?;Hallo! Was kann ich fuer dich tun?;0;1;1;text
VP1.1T;3;2.1;2.1;2.1;0;0;0;0;Veganes gericht;Wie wuerdest du deine Kochfaehigkeiten einschaetzen?;Ich glaube da war ein Rechtschreibfehler. Was meintest du?;0;1;1;text
VP1.1T;4;2.1;2.1;3.1;2.1;;;;Gut;"Wie klingen ""Vegane Muffins mit veganer Buttercreme""";Wie wuerdest du deine Kochfaehigkeiten einschaetzen?;0;0;1;text
VP1.1T;5;2.1;2.1;2.1;3.1;;;;Ich moechte ein Hauptgericht;Wieviel Zeit hast du zum Kochen?;"Wie klingen ""Vegane Muffins mit veganer Buttercreme""";0;0;1;text
VP1.1T;6;2.1;2.1;2.1;2.1;;;;4 Stunden;Gibt es spezielle Zubereitungsarten, die du magst oder welche die du nicht Anwenden moechtest?;Wieviel Zeit hast du zum Kochen?;0;0;1;text
VP1.1T;7;2.1;2.1;3.1;2.1;;;;Currys waeren gut, Keine salate;"Wie klingt ""Einfaches Rote-Linsen-Spinat-Curry"" fuer dich?";Gibt es spezielle Zubereitungsarten, die du magst oder welche die du nicht Anwenden moechtest?;0;0;1;text
VP1.1T;8;3.1;2.1;3.2;3.1;0;;;Sehr gut;Moechtest du mehr Informationen zu diesem Rezept?;"Wie klingt ""Einfaches Rote-Linsen-Spinat-Curry"" fuer dich?";0;0;1;text
VP1.1T;9;3.2;3.1;3.4;3.2;;;;Ja;Rezept;Moechtest du mehr Informationen zu diesem Rezept?;0;0;1;text
VP1.1T;10;4;3.2;3.4;3.4;;;;Ja;Rezept Link;Rezept;0;0;1;text
VP1.2T;11;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;1;text
VP1.2T;12;2.1;1;2.1;1;0;1;0;Ich suche ein Verband Rezept.;Ich glaube da war ein Rechtschreibfehler. Was meintest du?;Hallo! Was kann ich fuer dich tun?;0;1;1;text
VP1.2T;13;2.1;2.1;-1;2.1;;;;Ich suche ein Veganes Rezept;Wieviel Zeit hast du zum Kochen?;Ich glaube da war ein Rechtschreibfehler. Was meintest du?;0;1;1;text
VP1.2T;14;2.1;2.1;2.1;-1;;;;Ca 4h;Wie wuerdest du deine Kochfaehigkeiten einschaetzen?;Wieviel Zeit hast du zum Kochen?;0;0;1;text
VP1.2T;15;2.1;2.1;2.1;2.1;;;;Sehr gut;Erwartest du Besuch oder kochst du fuer dich allein?;Wie wuerdest du deine Kochfaehigkeiten einschaetzen?;0;0;1;text
VP1.2T;16;2.1;2.1;2.1;2.1;;;;Ich erwarte 2 personen;gibt es Allergiker?;Erwartest du Besuch oder kochst du fuer dich allein?;0;0;1;text
VP1.2T;17;2.1;2.1;2.1;2.1;;;;Ich bin mir nicht sicher;Gibt es spezielle Zubereitungsarten, die du magst oder welche die du nicht Anwenden moechtest?;gibt es Allergiker?;0;0;1;text
VP1.2T;18;2.1;2.1;2.1;2.1;;;;Was meinst du damit?;Daempfen, Grillen, Braten, Frittieren etc.;Gibt es spezielle Zubereitungsarten, die du magst oder welche die du nicht Anwenden moechtest?;0;0;1;text
VP1.2T;19;2.1;2.1;2.2;2.1;;;;Ich mag braten;Was sind deine Lieblingszutaten?;Daempfen, Grillen, Braten, Frittieren etc.;0;0;1;text
VP1.2T;20;2.2;2.1;2.2;2.2;;;;Avocado's, Nudeln, Kartoffeln und Zwiebeln;Gibt es spezielle Zutaten, die du magst? Wie beispielsweise Szechuan Pfeffer oder Tamarinde?;Was sind deine Lieblingszutaten?;0;0;1;text
VP1.2T;21;2.2;2.2;3.1;2.2;;;;Pfeffer und paprika;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden. ""Gemuese-Nudeln mit Cashew-Avocado-Sauce ""Moechtest du die Rezeptliste sehen?";Gibt es spezielle Zutaten, die du magst? Wie beispielsweise Szechuan Pfeffer oder Tamarinde?;0;0;1;text
VP1.2T;22;3.1;2.2;3.3;3.1;1;;;Ja bitte;Liste/Wie gefallen dir die Zutaten?;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden. ""Gemuese-Nudeln mit Cashew-Avocado-Sauce ""Moechtest du die Rezeptliste sehen?";0;0;1;text
VP1.2T;23;3.3;3.1;3.4;3.3;;;;Sehr gut.;Zeige Zubereitung /Moechtest du das Rezept sehen;Liste/Wie gefallen dir die Zutaten?;0;0;1;text
VP1.2T;24;5;3.3;3.4;3.4;;;; Wie bereite ich es zu;Zeige Zubereitung /Moechtest du das Rezept sehen;Zeige Zubereitung /Moechtest du das Rezept sehen;0;0;1;text
VP1.2T;25;3.2;5;-1;3.4;;;;Nein danke;NaN;Zeige Zubereitung /Moechtest du das Rezept sehen;0;0;1;text
VP1.3T;26;1;-1;1;-1;;;;Hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;1;text
VP1.3T;27;2.1;1;2.1;1;0;1;0;Nenne mir ein veganes Rezept;Wieviel Zeit hast du zum Kochen?;Hallo! Was kann ich fuer dich tun?;0;0;1;text
VP1.3T;28;2.1;2.1;2.1;2.1;;;;3 Stunden;Auf was hast du Lust?;Wieviel Zeit hast du zum Kochen?;0;0;1;text
VP1.3T;29;5;2.1;0;2.1;;;;Rate mir was;Es tut mir leid, das habe ich nicht verstanden. Kannst du es neu formulieren?;Auf was hast du Lust?;0;0;1;text
VP1.3T;30;5;5;-1;0;;;;Schlager mir ein Rezept vor;NaN;Es tut mir leid, das habe ich nicht verstanden. Kannst du es neu formulieren?;0;0;1;text
VP1.3T;31;2.1;5;2.1;-1;;;;Schlag mir ein Rezept vor;Erwartest du Besuch oder kochst du fuer dich allein?;NaN;0;0;1;text
VP1.3T;32;2.1;2.1;2.1;2.1;;;;Besuch;gibt es Allergiker?;Erwartest du Besuch oder kochst du fuer dich allein?;0;0;1;text
VP1.3T;33;2.1;2.1;2.1;2.1;;;;Nein;Wie wuerdest du deine Kochfertigkeiten einschaetzen?;gibt es Allergiker?;0;0;1;text
VP1.3T;34;2.1;2.1;2.1;2.1;;;;Ich kann ueberleben;Zu was fuer Rezepten greifst du normalerweise, wenn du etwas kochen moechtest?;Wie wuerdest du deine Kochfertigkeiten einschaetzen?;1;0;1;text
VP1.3T;35;2.1;2.1;2.2;2.1;;;;Ich kenne keine Rezepte;Was sind deine Lieblingszutaten?;Zu was fuer Rezepten greifst du normalerweise, wenn du etwas kochen moechtest?;0;0;1;text
VP1.3T;36;2.2;2.1;2.2;2.2;;;;Gewuerze;Welches Gemuese magst du?;Was sind deine Lieblingszutaten?;0;0;1;text
VP1.3T;37;2.2;2.2;2.2;2.2;;;;Kartoffeln;Welche Zutaten wuerdest du niemals benuetzen?;Welches Gemuese magst du?;0;0;1;text
VP1.3T;38;2.2;2.2;2.2;2.2;;;;Nichts giftiges;Was fuer Zutaten hast du gemeint?;Welche Zutaten wuerdest du niemals benuetzen?;1;0;1;text
VP1.3T;39;2.2;2.2;3.1;2.2;;;;Oliven;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Vegane Lauch-Kartoffel-""Kaese""- Suppe"". Wie klingt das fuer dich?";Was fuer Zutaten hast du gemeint?;0;0;1;text
VP1.3T;40;3.1;2.2;3.2;3.1;0;;;gut;Moechtest du die Zutatenliste sehen?;"Mithilfe der Zutaten, die du mir genannt hast, habe ich folgendes Rezept gefunden ""Vegane Lauch-Kartoffel-""Kaese""- Suppe"". Wie klingt das fuer dich?";0;0;1;text
VP1.3T;41;3.2;3.1;3.4;3.2;;;;nein;Link;Moechtest du die Zutatenliste sehen?;0;0;1;text
VP1.6T;42;1;-1;1;-1;;;;hey TeleFood;Hallo! Was kann ich fuer dich tun?;;0;0;1;text
VP1.6T;43;2.1;1;2.1;1;0;1;1;ich brauche ein veganes Wok Rezept fuer 3 Personen;Wie ausgefallen darf das Rezept sein?;Hallo! Was kann ich fuer dich tun?;0;0;1;text
VP1.6T;44;2.1;2.1;2.1;2.1;;;;leichte Zuege, aber noch eher konventionell;Wie ernaehrst du dich unter der Woche? Wie am Wochenende?;Wie ausgefallen darf das Rezept sein?;0;0;1;text
VP1.6T;45;2.1;2.1;2.2;2.1;;;;ich wollte nur ein veganes Wok Rezept fuer 3;Welches Gemuese magst du?;Wie ernaehrst du dich unter der Woche? Wie am Wochenende?;0;0;1;text
